Name,Address,lat,lon
"
ファミリーマート 池袋グリーン大通り店
",東京都豊島区東池袋1-12-3常陽銀行池袋ビル,35.7288706,139.7148339
"
ファミリーマート 池袋東口店
",東京都豊島区東池袋1-39-15,35.7327356,139.7145124
"
ファミリーマート シンヤ雑司が谷店
",東京都豊島区雑司が谷2-3-2新家ビル,35.7180178,139.7160501
"
ファミリーマート 南池袋パーク通り店
",東京都豊島区南池袋2-26-7,35.7280225,139.7133421
"
ファミリーマート 巣鴨三丁目店
",東京都豊島区巣鴨3-24-11,35.7331389,139.7373145
"
ファミリーマート サンシャイン通り南店
",東京都豊島区東池袋1-13-11,35.7295445,139.7152175
"
ファミリーマート 池袋北口店
",東京都豊島区西池袋1-43-7,35.733033,139.7110279
"
ファミリーマート 東池袋明治通り店
",東京都豊島区東池袋1-35-3,35.73289,139.7152606
"
ファミリーマート 西池袋三丁目店
",東京都豊島区西池袋3-1-13,35.7288526,139.706748
"
ファミリーマート サンシャインシティ店
",東京都豊島区東池袋3-1-1サンシャインシティアルパ2F,35.7296714,139.7182159
"
ファミリーマート 西池袋一丁目店
",東京都豊島区西池袋1-22-2ナカヤビル,35.7317482,139.7095766
"
ファミリーマート 目白南店
",東京都豊島区高田3-31-5,35.7171497,139.7058571
"
ファミリーマート サンシャイン西店
",東京都豊島区東池袋3丁目3番2号,35.7295311,139.7171387
"
ファミリーマート 巣鴨地蔵通り店
",東京都豊島区巣鴨3-34-1,35.7352339,139.7360669
"
ファミリーマート 丸萬椎名町駅前店
",東京都豊島区長崎1丁目2-7,35.726929,139.694444
"
ファミリーマート 駒込三丁目店
",東京都豊島区駒込3-4-3,35.7361592,139.7450532
"
ファミリーマート 西武東長崎駅前店
",東京都豊島区長崎5-1-34東長崎西武ビル,35.7304885,139.6831213
"
ファミリーマート 池袋二丁目店
",東京都豊島区池袋2-60-6,35.7347156,139.7090782
"
ファミリーマート 要町駅前店
",東京都豊島区西池袋5-24-9,35.7327035,139.7003674
"
ファミリーマート 高田三丁目店
",東京都豊島区高田3-21-8,35.7146674,139.709814
"
ファミリーマート 京王プレッソイン池袋店
",東京都豊島区南池袋2-29-11,35.7278084,139.7155803
"
ファミリーマート サンシャインCPH店
",東京都豊島区東池袋3丁目1-5サンシャインシティプリンスホテル内1階,35.7294678,139.7194869
"
ファミリーマート 南池袋一丁目店
",東京都豊島区南池袋1-25-1アソルティ南池袋,35.7284225,139.7131374
"
ファミリーマート 駒込本郷通り店
",東京都豊島区駒込3-23,35.738442,139.7458034
