Name,Address,Location
"
NEWDAYS(ニューデイズ) 上野新浅草口店
",東京都台東区上野7-1-1 上野駅3階入谷改札外(パンダ橋口前),"{'lat': 35.7129179, 'lng': 139.7770442}"
"
NEWDAYSMINI(ニューデイズミニ) 鶯谷1号店
",東京都台東区上野桜木1-16,"{'lat': 35.7210706, 'lng': 139.7770295}"
"
NEWDAYSMINI(ニューデイズミニ) 上野5号店
",東京都台東区上野7-1-1 上野駅新幹線B3Fコンコース(大宮方面),"{'lat': 35.7141672, 'lng': 139.7774091}"
"
NEWDAYS MINI(ニューデイズミニ) 上野1号店
",東京都台東区上野7-1-1 上野駅16・17番(常磐線特急)ホーム内,"{'lat': 35.7141672, 'lng': 139.7774091}"
"
NEWDAYS(ニューデイズ) 上野幹線通路店
",東京都台東区上野7-1-1 上野駅新幹線1Fコンコース,"{'lat': 35.7141672, 'lng': 139.7774091}"
"
ポプラ 三ノ輪1丁目店
",東京都台東区三ノ輪1-7-1,"{'lat': 35.7268583, 'lng': 139.7918925}"
"
ポプラ 新浅草店
",東京都台東区浅草1-35-2 ウイン浅草 1F,"{'lat': 35.7123976, 'lng': 139.797583}"
"
ポプラ 清川店
",東京都台東区清川2-5-6 ブリリアンス浅草 1F,"{'lat': 35.72653, 'lng': 139.8008994}"
"
スリーエイト 竜泉店
",東京都台東区竜泉3-24-5,"{'lat': 35.7259193, 'lng': 139.792214}"
"
駅売店 MiNi SHOP(ミニショップ) 京成上野駅店
",東京都台東区上野公園1-60 京成上野駅 1・2番線ホーム、改札外コンコース,"{'lat': 35.7111705, 'lng': 139.7738941}"
"
有限会社馬場商店
",東京都台東区今戸2-11-1,"{'lat': 35.7208402, 'lng': 139.8033953}"
"
ローソン 東上野一丁目店
",東京都台東区東上野1-20-6,"{'lat': 35.7087766, 'lng': 139.7784082}"
"
ローソン 浅草四丁目店
",東京都台東区浅草4-6-1,"{'lat': 35.7179028, 'lng': 139.7977929}"
"
ローソン 今戸リバーサイド店
",東京都台東区今戸1-23-12,"{'lat': 35.7196071, 'lng': 139.8052639}"
